央视频道,#genre#
CCTV1,https://iptv.catvod.com/live.php?id=CCTV1#http://223.167.230.235:4022/rtp/239.45.3.145:5140#http://111.162.204.74:8686/rtp/225.1.1.120:5002#https://live.chinacert.cftest5.cn/mg/?id=608807420#http://sh.lnott.top:880/dx01.m3u8#http://112.6.239.227:8207/hls/1/index.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub#http://101.35.240.114:88/live.php?id=CCTV1#http://www.lnlee.top:65535/udp/239.81.0.102:4056#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226346/1.m3u8
CCTV2,https://iptv.catvod.com/live.php?id=CCTV2#http://112.132.10.54:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#https://live.chinacert.cftest5.cn/mg/?id=631780532#http://sh.lnott.top:880/dx02.m3u8#http://112.6.239.227:8207/hls/2/index.m3u8#http://223.167.230.235:4022/rtp/239.45.3.208:5140#http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub#http://www.lnlee.top:65535/udp/239.81.0.115:4056#http://111.162.204.74:8686/rtp/225.1.1.133:5002#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV3,https://iptv.catvod.com/live.php?id=CCTV3#https://live.chinacert.cftest5.cn/mg/?id=624878271#http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://171.15.18.199:8180/TV00000000000000000003@HHZT#http://sh.lnott.top:880/dx03.m3u8#http://112.6.239.227:8207/hls/3/index.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub#http://101.35.240.114:88/live.php?id=CCTV3#http://www.lnlee.top:65535/udp/239.81.0.231:4056#http://223.167.230.235:4022/rtp/239.45.1.68:5140
CCTV4,https://iptv.catvod.com/live.php?id=CCTV4#http://111.162.204.74:8686/rtp/225.1.1.150:5002#https://live.chinacert.cftest5.cn/mg/?id=631780421#https://live.chinacert.cftest5.cn/mg/?id=608807416#http://171.15.18.199:8180/TV00000000000000000004@HHZT#http://112.6.239.227:8207/hls/4/index.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub#http://1.24.39.180:9003/hls/4/index.m3u8#http://www.lnlee.top:65535/udp/239.81.0.96:4056#http://223.167.230.235:4022/rtp/239.45.0.2:5140
CCTV5,https://iptv.catvod.com/live.php?id=CCTV5plus#https://iptv.catvod.com/live.php?id=CCTV5#http://111.162.204.74:8686/rtp/225.1.1.160:5002#http://223.167.230.235:4022/rtp/239.45.1.69:5140#http://bxtv.3a.ink/migu.php?id=cctv5#http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://112.6.239.227:8207/hls/5/index.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub#http://1.24.39.180:9003/hls/5/index.m3u8#http://101.35.240.114:88/live.php?id=CCTV5
CCTV5+,https://live.chinacert.cftest5.cn/mg/?id=641886773#http://111.162.204.74:8686/rtp/225.1.1.121:5002#http://112.6.239.227:8207/hls/6/index.m3u8#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226349/1.m3u8#http://183.214.23.16:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226349/1.m3u8
CCTV6,http://223.167.230.235:4022/rtp/239.45.1.70:5140#http://112.132.10.54:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://112.6.239.227:8207/hls/7/index.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub#http://1.24.39.180:9003/hls/6/index.m3u8#http://101.35.240.114:88/live.php?id=CCTV6#http://www.lnlee.top:65535/udp/239.81.0.233:4056#http://111.162.204.74:8686/rtp/225.1.1.195:5002#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8#http://183.214.23.16:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8
CCTV7,https://iptv.catvod.com/live.php?id=CCTV7#http://223.167.230.235:4022/rtp/239.45.3.56:5140#http://111.162.204.74:8686/rtp/225.1.1.138:5002#https://live.chinacert.cftest5.cn/mg/?id=673168121#http://sh.lnott.top:880/dx07.m3u8#http://112.6.239.227:8207/hls/8/index.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub#http://1.24.39.180:9003/hls/7/index.m3u8#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226467/1.m3u8#http://www.lnlee.top:65535/udp/239.81.0.116:4056
CCTV8,https://live.chinacert.cftest5.cn/mg/?id=624878356#http://112.132.10.54:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub#http://101.35.240.114:88/live.php?id=CCTV8#http://www.lnlee.top:65535/udp/239.81.0.234:4056#http://223.167.230.235:4022/rtp/239.45.1.71:5140#http://111.162.204.74:8686/rtp/225.1.1.196:5002#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8#http://183.214.23.16:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8
CCTV9,https://iptv.catvod.com/live.php?id=CCTV9#http://sh.lnott.top:880/dx09.m3u8#http://112.6.239.227:8207/hls/10/index.m3u8#http://111.162.204.74:8686/rtp/225.1.1.119:5002#http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub#http://1.24.39.180:9003/hls/9/index.m3u8#http://www.lnlee.top:65535/udp/239.81.0.117:4056#http://223.167.230.235:4022/rtp/239.45.3.4:5140#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8#http://183.214.23.16:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CCTV10,https://live.chinacert.cftest5.cn/mg/?id=624878405#http://sh.lnott.top:880/dx10.m3u8#http://112.6.239.227:8207/hls/11/index.m3u8#http://1.24.39.180:9003/hls/10/index.m3u8#http://101.35.240.114:88/live.php?id=CCTV10#http://www.lnlee.top:65535/udp/239.81.0.118:4056#http://223.167.230.235:4022/rtp/239.45.3.8:5140#http://111.162.204.74:8686/rtp/225.1.1.140:5002#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226464/1.m3u8#http://183.214.23.16:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226464/1.m3u8
CCTV11,https://iptv.catvod.com/live.php?id=CCTV11#https://live.chinacert.cftest5.cn/mg/?id=667987558#https://live.chinacert.cftest5.cn/mg/?id=667987558#http://111.162.204.74:8686/rtp/225.1.2.192:5002#http://sh.lnott.top:880/dx11.m3u8#http://112.6.239.227:8207/hls/12/index.m3u8#http://1.24.39.180:9003/hls/11/index.m3u8#http://www.lnlee.top:65535/udp/239.81.0.229:4056#http://223.167.230.235:4022/rtp/239.45.1.196:5140#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CCTV12,https://iptv.catvod.com/live.php?id=CCTV12#http://bxtv.3a.ink/migu.php?id=cctv12#https://live.chinacert.cftest5.cn/mg/?id=673168185#http://101.35.240.114:88/live.php?id=CCTV12#http://www.lnlee.top:65535/udp/239.81.0.119:4056#http://223.167.230.235:4022/rtp/239.45.3.10:5140#http://111.162.204.74:8686/rtp/225.1.1.142:5002#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8#http://183.214.23.16:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CCTV13,https://iptv.catvod.com/live.php?id=CCTV13#http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8#http://223.167.230.235:4022/rtp/239.45.1.198:5140#https://event.pull.hebtv.com/jishi/cp1.m3u8#http://112.6.239.227:8207/hls/14/index.m3u8#http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub#http://58.17.116.69:9903/tsfile/live/0013_2.m3u8?key=txiptv&playlive=0&authid=0#http://www.lnlee.top:65535/udp/239.81.0.206:4056#http://111.162.204.74:8686/rtp/225.1.2.193:5002#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226568/1.m3u8
CCTV14,http://223.167.230.235:4022/rtp/239.45.3.23:5140#https://live.chinacert.cftest5.cn/mg/?id=624878440#http://58.17.116.69:9903/tsfile/live/0014_2.m3u8?key=txiptv&playlive=0&authid=0#http://101.35.240.114:88/live.php?id=CCTV14#http://www.lnlee.top:65535/udp/239.81.0.120:4056#http://111.162.204.74:8686/rtp/225.1.1.144:5002#http://111.62.54.131:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8#http://183.214.23.16:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8
CCTV15,https://iptv.catvod.com/live.php?id=CCTV15#http://112.132.10.54:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0#http://bxtv.3a.ink/migu.php?id=cctv15#https://live.chinacert.cftest5.cn/mg/?id=673168223#https://live.chinacert.cftest5.cn/mg/?id=673168223#http://sh.lnott.top:880/dx15.m3u8#http://58.17.116.69:9903/tsfile/live/0015_2.m3u8?key=txiptv&playlive=0&authid=0#http://www.lnlee.top:65535/udp/239.81.0.230:4056#http://223.167.230.235:4022/rtp/239.45.1.200:5140#http://111.162.204.74:8686/rtp/225.1.2.194:5002
